template,wikiproject,top_category,depth
Template:Argos Comunicación's,television,Category:Television templates,4
Template:WPMILHIST Review alerts/sandbox,military history,Category:WikiProject Military history announcement templates,1
Template:Louisiana–Lafayette Ragin' Cajuns men's basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:WCWPPV,television,Category:Television templates,5
Template:Yale Bulldogs men's ice hockey navbox,ice hockey,Category:Ice hockey templates,5
Template:WPMILHIST Announcements/Roman and Byzantine military history,military history,Category:WikiProject Military history announcement templates,1
Template:2010–11 CCHA standings (men),ice hockey,Category:Ice hockey templates,5
Template:Vascular plant phylogeny,plants,Category:Botany templates,2
Template:The Voice of Poland,television,Category:Television templates,6
Template:Thirty Three & 1/3 tracks,the beatles,Category:George Harrison album track list templates,1
Template:Home theater PC (application software),television,Category:Television templates,2
Template:Honduran political parties,central america,Category:Central America templates,3
Template:Loras Duhawks football coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:CSCHL,ice hockey,Category:Ice hockey templates,5
Template:Smash,journalism,Category:Television templates,3
Template:Lukko Rauma roster,ice hockey,Category:Ice hockey templates,3
Template:ABC Radio and Regional Content,journalism,Category:Television templates,4
Template:Louisiana Tech Lady Techsters basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Bar Councils in Pakistan,journalism,Category:Television templates,7
Template:Harry Hill,journalism,Category:Television templates,5
Template:I'm a Celebrity...Get Me Out of Here! (UK TV series),journalism,Category:Television templates,4
Template:COX,journalism,NONE_CATE,0
Template:Real Jaén managers,sports,Category:Sportsperson navigational boxes,4
Template:Lee and Herring,journalism,Category:Television templates,5
Template:1988–89 NHL Patrick Division standings,ice hockey,Category:Ice hockey templates,5
Template:Of Life Dramas,journalism,Category:Television templates,3
Template:Dragon Television Dream Drama,television,Category:Television templates,3
Template:TBSNetwork Shows,journalism,Category:Television templates,5
Template:Mississippi Valley State Delta Devils football coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:GMA Network,television,Category:Television templates,4
Template:WPOR DYK silver Barnstar,united states,Category:WikiProject Oregon templates,1
Template:Saturn Awards,television,Category:Television templates,3
Template:Television in Germany,journalism,Category:Television templates,5
Template:EmmyAward ComedyWriting,television,Category:Television templates,6
Template:Recess,disney,Category:Disney navigational boxes,1
Template:User WP South Australia,australia,Category:WikiProject South Australia templates,1
Template:Nisio Isin,journalism,Category:Television templates,4
Template:Laoag TV,journalism,Category:Television templates,4
Template:Daytime Emmy Award Outstanding Younger Actress,journalism,Category:Television templates,5
Template:User WP3K,three kingdoms,NONE_CATE,0
Template:Telangana-university-stub,india,Category:WikiProject India stub templates,1
Template:MacGyver,journalism,Category:Television templates,3
Template:CBS New England,television,Category:Television templates,7
Template:R39/26/28,chemistry,Category:Chembox templates,3
Template:The Bold and the Beautiful,television,Category:Television templates,4
Template:Daytime Emmy Award Outstanding Entertainment News Program,journalism,Category:Television templates,5
Template:User WikiProject European Union,european union,NONE_CATE,0
Template:Ood stories,journalism,Category:Television templates,5
Template:2006–07 WCHA standings (men),ice hockey,Category:Ice hockey templates,4
Template:Cybermen audios,journalism,Category:Television templates,6
Template:Star Trek ships named Enterprise,journalism,Category:Television templates,5
Template:Maude,television,Category:Television templates,4
Template:Utah Utes baseball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Arda Realms Age2,middle-earth,Category:WikiProject Middle-earth article templates,1
Template:LAT TV,television,Category:Television templates,6
Template:Andromeda (TV series),television,Category:Television templates,4
Template:Magilla Gorilla,television,Category:Television templates,5
Template:Australian game shows,journalism,Category:Television templates,4
Template:1973–74 NHL West Division standings,ice hockey,Category:Ice hockey templates,5
Template:CBSNetwork Shows (current and upcoming),journalism,Category:Television templates,5
Template:2008–09 NHL Northeast Division standings,ice hockey,Category:Ice hockey templates,6
Template:Touched by an Angel,television,Category:Television templates,4
Template:Auton stories,journalism,Category:Television templates,6
Template:SV Horn managers,sports,Category:Sportsperson navigational boxes,4
Template:We Got Married,journalism,Category:Television templates,3
Template:Infobox Champ Car driver,biography,Category:Sportsperson infobox templates,2
Template:India-music-stub,india,Category:WikiProject India stub templates,1
Template:WikiProject Software,computing,NONE_CATE,0
Template:Jackson State Tigers basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:North Greenville Crusaders football coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Disney Channel,disney,Category:Disney navigational boxes,1
Template:ABC News Personalities,journalism,Category:Television templates,6
Template:1994–95 CCHA standings (men),ice hockey,Category:Ice hockey templates,4
Template:Românii au talent,journalism,Category:Television templates,4
Template:StarTrek-stub,journalism,Category:Television templates,4
Template:Everybody Loves Raymond,journalism,Category:Television templates,4
Template:Infobox Simpsons episode/Season 9 list,television,Category:Television templates,7
Template:Eighth Doctor audios,television,Category:Television templates,6
Template:FC Schalke 04 managers,sports,Category:Sportsperson navigational boxes,4
Template:Satellite Award for Outstanding Motion Picture Ensemble,television,Category:Television templates,4
Template:Forever Knight,journalism,Category:Television templates,3
Template:Ottawa Senators (original) seasons,ice hockey,Category:Ice hockey templates,6
Template:Television home release,journalism,Category:Television templates,1
Template:New Mexico State Aggies baseball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Subscription television channels in Australia,television,Category:Television templates,6
Template:WikiProject South Africa,south africa,NONE_CATE,0
Template:The Voice Kids (UK),journalism,Category:Television templates,5
Template:Dalek novels,journalism,Category:Television templates,7
Template:SBSNewsPresenters,television,Category:Television templates,4
Template:GMA Mindanao,television,Category:Television templates,4
Template:New York Rangers seasons,ice hockey,Category:Ice hockey templates,5
Template:The Sarah Jane Adventures,television,Category:Television templates,5
Template:Infobox Simpsons episode/Season 25 list,journalism,Category:Television templates,4
Template:BBC Natural History Unit,journalism,Category:Television templates,4
Template:Inter-City League seasons,ice hockey,Category:Ice hockey templates,4
Template:Contains Shavian text,writing systems,Category:Writing system templates,2
Template:RTI Producciones telenovelas,television,Category:Television templates,3
Template:The O.C.,television,Category:Television templates,4
Template:X Factor Adria,journalism,Category:Television templates,5
Template:Dundee United F.C. managers,sports,Category:Sportsperson navigational boxes,4
Template:TV Stations New Jersey,journalism,Category:Television templates,5
Template:Tim and Eric,journalism,Category:Television templates,6
Template:Harvard Crimson women's ice hockey navbox,ice hockey,Category:Ice hockey templates,5
Template:Susquehanna River Hawks football coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Lamar Cardinals basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Washington State Cougars athletic director navbox,sports,Category:Sportsperson navigational boxes,3
Template:Manchester United F.C. managers,sports,Category:Sportsperson navigational boxes,4
Template:NYCS Queens express,new york city public transportation,Category:New York City Subway line templates,2
Template:MNTV Virginia,journalism,Category:Television templates,7
Template:User Portal star,astronomy,NONE_CATE,0
Template:Chicago Fire managers,sports,Category:Sportsperson navigational boxes,5
Template:Alan Ball,television,Category:Television templates,6
Template:Alan Bleasdale,journalism,Category:Television templates,4
Template:UD Salamanca managers,sports,Category:Sportsperson navigational boxes,4
Template:Quick Draw McGraw,journalism,Category:Television templates,5
Template:Patlabor,journalism,Category:Television templates,4
Template:People's Democratic Party (Belize)/meta/shortname,central america,Category:Central America templates,5
Template:Infobox musician awards,albums,NONE_CATE,0
Template:Lighthouses of Mississippi,united states,Category:WikiProject Mississippi templates,3
Template:Bidar topics,india,Category:WikiProject Karnataka templates,1
Template:Oral Roberts Golden Eagles men's basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:Clemson Tigers men's basketball coach navbox,sports,Category:Sportsperson navigational boxes,5
Template:R36/37/38,chemistry,Category:Chembox templates,3
Template:OLM,journalism,Category:Television templates,4
Template:Abaranger,journalism,Category:Television templates,5
Template:2009 Honduran constitutional crisis,central america,Category:Central America templates,3
Template:Nickelodeon original series and Nicktoons,television,Category:Television templates,6
Template:User WP Equatorial Guinea,equatorial guinea,NONE_CATE,0
Template:2003–04 NHL Central Division standings,ice hockey,Category:Ice hockey templates,6
Template:Sports Emmy Award for Outstanding Studio Host,television,Category:Television templates,5
Template:Excel Saga,journalism,Category:Television templates,4
Template:Buffalo Sabres seasons,ice hockey,Category:Ice hockey templates,5
Template:CW Illinois,journalism,Category:Television templates,7
Template:Kamatamare Sanuki managers,sports,Category:Sportsperson navigational boxes,4
Template:David Winters,television,Category:Television templates,2
Template:1973–74 CCHA standings (men),ice hockey,Category:Ice hockey templates,5
Template:1951–52 NHL standings,ice hockey,Category:Ice hockey templates,5
Template:The Bold Ones,journalism,Category:Television templates,3
Template:Contains Baybayin text,writing systems,Category:Writing system templates,2
Template:Alaska Nanooks men's ice hockey navbox,ice hockey,Category:Ice hockey templates,5
Template:Nicaraguan presidential election, 2011,central america,Category:Central America templates,4
Template:User WP Greece,greece,NONE_CATE,0
Template:User Taiwan-gov,china,Category:WikiProject Taiwan templates,1
Template:Mongolia Hockey League seasons,ice hockey,Category:Ice hockey templates,4
Template:X Factor (Norway),journalism,Category:Television templates,5
Template:As the World Turns,journalism,Category:Television templates,4
Template:DunnCountyWI-geo-stub,wisconsin,NONE_CATE,0
Template:Daytime Emmy Award Outstanding Legal/Courtroom Program,television,Category:Television templates,5
Template:Fox Iowa,television,Category:Television templates,6
Template:Family Guy (season 11),journalism,Category:Television templates,5
Template:Terminator,journalism,Category:Television templates,5
Template:Channel 5 Broadcasting,journalism,Category:Television templates,6
Template:OrchidsYearDE,plants,Category:Botany templates,1
Template:Felix the Cat,journalism,Category:Television templates,5
